No, Names
1,Andijon
2,Angren
3,Asaka
4,Bekobod
5,Beshariq
6,Boysun
7,Bulung'ur
8,Buxoro
9,Chinoz
10,Chirchiq
11,Chiroqchi
12,Chortoq
13,Chust
14,Dang'ara
15,Denov
16,Do'stlik
17,Do'stobod
18,Eshonguzar
19,Farg'ona
20,Furqat
21,G'allaorol
22,Galaosiya
23,Gijduvon
24,Guliston
25,Gulobod
26,G'azalkent
27,Ibrat
28,Ishtixon
29,Jalaquduq
30,Jizzax
31,Jomboy
32,Jondor
33,Juma
34,Karmana
35,Kattaqo'rg'on
36,Keles
37,Kitob
38,Kogon
39,Ko'ksaroy
40,Loyish
41,Marg'ilon
42,Muborak
43,Namangan
44,Navoiy
45,Nazarbek
46,Nukus
47,Nurafshon
48,Nurota
49,Ohangaron
50,Olmaliq
51,Olmazor(Chinoz tumani)
52,Olot
53,Oqqo'rg'on
54,Oqtosh
55,Parkent
56,Paxtakor
57,Paxtaobod
58,Payshanba
59,Piskent
60,Pop
61,Poytug'
62,Qarshi
63,Qibray
64,Qo'ng'irot
65,Qora Xitoy
66,Qorako'l
67,Qorasuv (Andijon vil.)
68,Qorovulbozor
69,Qo'rg'ontepa
70,Qo'qon
71,Quva
72,Quvasoy
73,Rishton
74,Salar
75,Samarqand
76,Sardoba
77,Shahrisabz
78,Shahrixon
79,Shofirkon
80,Termiz
81,To'raqo'rg'on
82,Toshkent
83,Toyloq
84,Uchqo'rg'on
85,Uchquduq
86,Urganch
87,Urgut
88,xiva
89,xonobod
80,xovos
91,Xo'jaobod
92,xo'jayli
93,Yangibozor
94,Yangiyer
95,Yangiyo'l
96,Yaypan
97,Zangiota
98,Zarafshon
99,Ziyodin
