S.No,Cities
1,Afrasiab
2,Akkula
3,Andijon
4,Angren
5,Asaka
6,Baxt
7,Bekobod
8,Beruniy
9,Bukhara (Buxoro)
10,Chimboy
11,Chirchiq
12,Chartak
13,Dashtobod
14,Denov
15,Fergana
16,Guliston
17,G'uzor
18,G'ijduvon
19,Khakkulabad
20,Jizzax
21,Juma
22,Kattaqo'rg'on
23,Khiva
24,Kogon
25,Kokand
26,Kosonsoy
27,Kungrad
28,Margilan
29,"Mo'ynoq (Moynaq, Muynaq, Muynak)"
30,Namangan
31,Navoiy
32,Nukus
33,Nurota
34,Okhangaron
35,Olmaliq
36,Oqtosh
37,Piskent
38,Qarshi
39,Qorako'l
40,Qorasuv
41,Quva
42,Quvasoy
43,Rishdan
44,Samarqand (Samarkand)
45,Shahrisabz
46,Shakhrihon
47,Shirabad
48,Shirin
49,Sirdaryo
50,Tashkent (Toshkent) - Capital
51,Taxiatosh
52,Termez
53,Tomdibuloq
54,To'ytepa
55,Turtkul
56,Uchqo'rg'on
57,Uchquduq
58,Urganch
59,Urgut
60,Vobkent
61,Xonobod
62,Xo'jayli
63,Yangiobod
64,Yangiyer
65,Yangiyo'l
66,Zarafshon

